Wavelength[nm],ADC
1044.976,7857
1045.431,8365
1045.885,8225
1046.340,7928
1046.795,7521
1047.249,7378
1047.704,8393
1048.158,7764
1048.613,8062
1049.068,7918
1049.522,8574
1049.977,8423
1050.432,7731
1050.886,8555
1051.341,8556
1051.796,7906
1052.250,8746
1052.705,7664
1053.160,8122
1053.614,8475
1054.069,8410
1054.524,8131
1054.979,7893
1055.433,7776
1055.888,8330
1056.343,7658
1056.798,7882
1057.252,8234
1057.707,7426
1058.162,7796
1058.617,8040
1059.072,7699
1059.526,7945
1059.981,7752
1060.436,8120
1060.891,7789
1061.346,7874
1061.801,8216
1062.256,7921
1062.711,7451
1063.166,8012
1063.620,7666
1064.075,6971
1064.530,7516
1064.985,7827
1065.440,7018
1065.895,7274
1066.350,7735
1066.805,7634
1067.260,7298
1067.715,7358
1068.170,7803
1068.625,7149
1069.080,7324
1069.535,6712
1069.990,6944
1070.445,6610
1070.901,6818
1071.356,6381
1071.811,6164
1072.266,6510
1072.721,6475
1073.176,6176
1073.631,6213
1074.086,6085
1074.541,5929
1074.996,6225
1075.452,5825
1075.907,5279
1076.362,5844
1076.817,5492
1077.272,5325
1077.727,5370
1078.183,4740
