Wavelength[nm],ADC
385.768,7545
386.172,8017
386.576,7970
386.980,7360
387.384,7954
387.788,7529
388.192,8298
388.596,7688
389.000,8602
389.404,8336
389.808,9237
390.212,8428
390.617,8723
391.021,7345
391.425,8320
391.830,8671
392.234,8034
392.639,7245
393.043,7951
393.448,7811
393.853,7575
394.258,8133
394.662,8680
395.067,8479
395.472,7513
395.877,8457
396.282,8026
396.687,7370
397.092,7850
397.497,7181
397.902,8291
398.308,8782
398.713,8192
399.118,7829
399.524,7626
399.929,7706
400.335,7683
400.740,7763
401.146,7561
401.551,8493
401.957,8012
402.363,8113
402.768,8056
403.174,8013
403.580,8023
403.986,7810
404.392,8231
404.798,8544
405.204,7756
405.610,7583
406.016,8558
406.423,7556
406.829,9694
407.235,7861
407.642,8616
408.048,8764
408.454,8634
408.861,8173
409.267,8452
409.674,8159
410.081,8457
410.487,7861
410.894,8468
411.301,8212
411.708,8766
412.115,8086
412.522,8232
412.929,8736
413.336,9019
413.743,8060
414.150,8858
414.557,8692
414.964,7911
415.372,7585
415.779,8748
416.186,8768
416.594,8139
417.001,8540
417.409,8491
417.816,8719
418.224,9137
418.632,9094
419.039,8734
419.447,8223
419.855,8917
420.263,8597
420.671,8077
421.079,8648
421.487,8135
421.895,9122
422.303,8576
422.711,11567
423.119,8766
423.527,10014
423.936,8641
424.344,9197
424.753,8479
425.161,9679
425.569,8422
425.978,8950
426.387,9427
426.795,8757
427.204,9229
427.613,9079
428.021,8810
428.430,9592
428.839,8925
429.248,8280
429.657,7570
430.066,8886
430.475,7958
430.884,9574
431.293,9289
431.703,8746
432.112,9186
432.521,9032
432.931,9086
433.340,8909
433.749,9235
434.159,10188
434.568,9672
434.978,9326
435.388,9988
435.797,9093
436.207,9631
436.617,8954
437.027,9224
437.437,9670
437.846,8936
438.256,8889
438.667,9334
439.077,9373
439.487,8727
439.897,9661
440.307,8689
440.717,8379
441.128,8900
441.538,9306
441.948,9405
442.359,8941
442.769,9635
443.180,9344
443.590,9103
444.001,10306
444.412,10247
444.823,8571
445.233,9563
445.644,10202
446.055,9783
446.466,9416
446.877,9485
447.288,9127
447.699,9791
448.110,9286
448.521,9610
448.933,9692
449.344,10139
449.755,9675
450.166,9480
450.578,9046
450.989,9222
451.401,9112
451.812,8846
452.224,9949
452.636,10013
453.047,9169
453.459,9796
453.871,9203
454.283,9773
454.694,9842
455.106,9234
455.518,9368
455.930,8790
456.342,8816
456.754,9128
457.167,10037
457.579,9461
457.991,8952
458.403,8734
458.816,9216
459.228,9833
459.640,9551
460.053,9220
460.465,9795
460.878,9552
461.291,9073
461.703,9669
462.116,10669
462.529,9995
462.942,9833
463.354,9417
463.767,9979
464.180,9221
464.593,9681
465.006,9667
465.419,9608
465.833,9370
466.246,10173
466.659,9581
467.072,9948
467.486,9360
467.899,9497
468.312,9717
468.726,9506
469.139,8833
469.553,9315
469.966,9026
470.380,8655
470.794,9206
471.207,9580
471.621,9208
472.035,9675
472.449,8868
472.863,10256
473.277,9615
473.691,9703
474.105,9170
474.519,15549
474.933,9440
475.347,10150
475.762,9282
476.176,9515
476.590,9675
477.005,8589
477.419,8816
477.834,8513
478.248,8481
478.663,8739
479.077,9092
479.492,9001
479.907,9113
480.321,9017
480.736,9264
481.151,8901
481.566,9169
481.981,8984
482.396,8989
482.811,9202
483.226,8498
483.641,8175
484.056,7478
484.471,8526
484.887,8494
485.302,8274
485.717,9210
486.133,9536
486.548,8318
486.964,9243
487.379,8400
487.795,8718
488.210,8534
488.626,8896
489.042,8219
489.457,9448
489.873,8339
490.289,8563
490.705,8900
491.121,8551
491.537,9262
491.953,8113
492.369,8792
492.785,8644
493.201,8835
493.617,8042
